,afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,id
13,0.0,00:00:00,False,False,00:00:00,2.5497365,0.30309072,00:07:07.937000,75390907.937,00:11:55,False,18,2022-06-06 15:22:32+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:03:29.063000+00:00,2022-06-06 15:10:37+00:00,00:11:55,"{'x': -73.70388793945312, 'y': 45.46723937988281}",0.30309072,00:07:07.937000,00:11:55,{'id': 'b6E'},UnknownDriverId,b13B45B4
14,0.0,00:00:00,False,False,00:00:00,69.36288,64.738686,00:56:00,99658080.0,00:00:40,False,105,2022-06-06 15:22:44.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:15:07+00:00,2022-06-06 15:11:07+00:00,00:11:37.127000,"{'x': -70.70574188232422, 'y': 46.8882942199707}",64.738686,00:56:00,00:11:37.127000,{'id': 'b6D'},UnknownDriverId,b13B45B2
15,0.0,00:00:00,False,False,00:00:00,59.187885,18.06771,00:18:18.937000,60302538.937,00:04:20,False,101,2022-06-06 15:15:40+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:01.063000+00:00,2022-06-06 15:11:20+00:00,00:04:20,"{'x': -72.8952865600586, 'y': 45.51024627685547}",18.06771,00:18:18.936999,00:04:20,{'id': 'b37'},UnknownDriverId,b13B43CF
16,0.0,00:00:00,False,False,00:00:00,8.669741,0.43092704,00:02:58.937000,2000880.0,00:00:26,False,15,2022-06-06 15:21:28.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:09:25.063000+00:00,2022-06-06 15:12:24+00:00,00:09:04.063000,"{'x': -72.7056655883789, 'y': 45.306827545166016}",0.43092704,00:02:58.937000,00:09:04.063000,{'id': 'b1459'},"{'id': 'b61', 'isDriver': True}",b13B4577
17,0.0,00:00:00,False,False,00:00:00,38.815853,17.035168,00:26:19.937000,29693160.0,00:05:28,False,88,2022-06-06 15:51:35.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:46:40.063000+00:00,2022-06-06 15:13:00+00:00,00:38:35.063000,"{'x': -73.70247650146484, 'y': 45.4553337097168}",17.035168,00:26:19.936999,00:38:35.063000,{'id': 'bB1'},UnknownDriverId,b13B4C90
18,0.0,00:00:00,False,False,00:00:00,0.49174824,0.007649417,00:00:56,9824076.937,00:04:01,False,2,2022-06-06 15:17:11+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:12:14+00:00,2022-06-06 15:13:10+00:00,00:04:01,"{'x': -73.71469116210938, 'y': 45.573631286621094}",0.007649417,00:00:56,00:04:01,{'id': 'bBF'},"{'id': 'b54', 'isDriver': True}",b13B4477
19,0.0,00:00:00,False,False,00:00:00,4.8579817,0.07008583,00:00:51.937000,3453480.0,00:00:01,False,10,2022-06-06 15:28:04.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:12:23.063000+00:00,2022-06-06 15:13:15+00:00,00:14:49.063000,"{'x': -75.67646789550781, 'y': 45.48505783081055}",0.07008583,00:00:51.937000,00:14:49.063000,{'id': 'bA4'},"{'id': 'b69', 'isDriver': True}",b13B46FD
20,0.0,00:00:00,False,False,00:00:00,1.5697899,0.39549986,00:15:07,3910680.0,00:28:24,False,8,2022-06-06 15:57:05+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:58:27+00:00,2022-06-06 15:13:34+00:00,00:43:31,"{'x': -73.50873565673828, 'y': 45.71924591064453}",0.39549986,00:15:07,00:43:31,{'id': 'bA1'},"{'id': 'b15B', 'isDriver': True}",b13B4E36
21,0.0,00:00:00,False,False,00:00:00,48.42395,23.579773,00:29:13,36880920.0,00:00:48,False,96,2022-06-06 15:29:39.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:44:32+00:00,2022-06-06 15:13:45+00:00,00:15:54.063000,"{'x': -73.69817352294922, 'y': 45.45748519897461}",23.579773,00:29:13,00:15:54.063000,{'id': 'bCB'},UnknownDriverId,b13B475C
22,0.0,00:00:00,False,False,00:00:00,8.358598,1.7714121,00:12:42.937000,35935602.937,00:15:07,False,37,2022-06-06 15:29:20+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:01:30.063000+00:00,2022-06-06 15:14:13+00:00,00:15:07,"{'x': -73.70954132080078, 'y': 45.456382751464844}",1.7714121,00:12:42.937000,00:15:07,{'id': 'b5E'},UnknownDriverId,b13B4717
23,0.0,00:00:00,False,False,00:00:00,29.254248,10.499024,00:21:32,64996811.937,00:07:03,False,94,2022-06-06 15:21:36+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:01+00:00,2022-06-06 15:14:33+00:00,00:07:03,"{'x': -73.71186828613281, 'y': 45.46792984008789}",10.499024,00:21:32,00:07:03,{'id': 'b74'},UnknownDriverId,b13B4524
24,0.0,00:00:00,False,False,00:00:00,2.8433537,0.1002069,00:02:06.873000,42387606.873,00:03:50,False,14,2022-06-06 15:18:44+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:12:47.127000+00:00,2022-06-06 15:14:54+00:00,00:03:50,"{'x': -73.66568756103516, 'y': 45.49678039550781}",0.1002069,00:02:06.873000,00:03:50,{'id': 'bC3'},"{'id': 'b132', 'isDriver': True}",b13B44DE
25,0.0,00:00:00,False,False,00:00:00,32.024483,37.574833,01:10:23.937000,1544040.0,00:00:03,False,96,2022-06-06 15:15:15.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:04:31.063000+00:00,2022-06-06 15:14:55+00:00,00:00:20.063000,"{'x': -73.71041107177734, 'y': 45.45592498779297}",37.574833,01:10:23.937000,00:00:20.063000,{'id': 'b145A'},"{'id': 'b6D', 'isDriver': True}",b13B4417
26,0.0,00:00:00,False,False,00:00:00,53.85322,19.476915,00:21:42,30488583.973,00:09:17,False,105,2022-06-06 15:24:20+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:21+00:00,2022-06-06 15:15:03+00:00,00:09:17,"{'x': -73.45492553710938, 'y': 45.74766159057617}",19.476915,00:21:42,00:09:17,{'id': 'bC7'},UnknownDriverId,b13B4624
27,0.0,00:00:00,False,False,00:00:00,1.6258893,0.15578593,00:05:44.937000,57478680.0,00:04:30,False,5,2022-06-06 15:27:25.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:09:55.063000+00:00,2022-06-06 15:15:40+00:00,00:11:45.063000,"{'x': -73.6696548461914, 'y': 45.49657440185547}",0.15578593,00:05:44.937000,00:11:45.063000,{'id': 'b2'},"{'id': 'b17A', 'isDriver': True}",b13B46FB
28,0.0,00:00:00,False,False,00:00:00,42.39029,16.166443,00:22:52.937000,61916040.0,00:02:49,False,87,2022-06-06 15:21:29.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:22.063000+00:00,2022-06-06 15:16:15+00:00,00:05:14.063000,"{'x': -73.67001342773438, 'y': 45.49683380126953}",16.166443,00:22:52.936999,00:05:14.063000,{'id': 'b5F'},"{'id': 'b5E', 'isDriver': True}",b13B4533
